title,text,category,publication_date,source,image,link
Show da Madonna no Rio é neste sábado: veja tudo o que você precisa saber,"Performance em Copacabana deve ter 26 músicas principais (e trechos de outras) cantadas em duas horas. Ela deve receber Pabllo Vittar e Anitta, em show para 1,5 milhão de fãs.", Pop & Arte ,2024-05-04 00:13:27.638225,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/pop-arte/noticia/2024/05/04/show-da-madonna-no-rio-e-neste-sabado-veja-tudo-o-que-voce-precisa-saber.ghtml
Professora cria receita de brigadeiro de cogumelo para incentivar consumo do fungo: 'Todo mundo gostou',"Além do medo de errar no preparo, muitos param de provar novas opções de fungos após primeira experiência negativa com o alimento. Veja dicas de receitas e armazenamento. ", Agro Riqueza dos Campos Gerais ,2024-05-04 00:13:27.642068,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/pr/campos-gerais-sul/agro-riqueza-campos-gerais/noticia/2024/05/04/professora-cria-receita-de-brigadeiro-de-cogumelo-para-incentivar-consumo-do-fungo-todo-mundo-gostou.ghtml
"Maioria dos municípios brasileiros está despreparada para eventos climáticos extremos, diz pesquisa","Levantamento da Confederação Nacional dos Municípios aponta que 2,4 mil prefeituras disseram não ter condições de lidar com desastres naturais.", Política ,2024-05-04 00:13:27.645557,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/politica/noticia/2024/05/04/maioria-dos-municipios-brasileiros-esta-despreparada-para-eventos-climaticos-extremos-diz-pesquisa.ghtml
O setlist da Madonna no Rio... g1 analisa as 26 músicas que ela deve cantar no show do Rio de Janeiro,"Com base nas setlists anteriores da turnê, o g1 fez um ranking do provável repertório deste sábado. As categorias são cinco: Flopada, Passável, Quase lá, Ótima e Icônica.", Música ,2024-05-04 00:13:27.648825,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/pop-arte/musica/noticia/2024/05/04/o-setlist-da-madonna-no-rio-g1-analisa-as-26-musicas-que-ela-deve-cantar-no-show-do-rio-de-janeiro.ghtml
Show da Madonna: Terminal Gentileza tem linha de ônibus direto para Copacabana; veja preço e regras,"Passageiro vai poder pegar a linha especial tanto com o Jaé, que será vendido já carregado com o valor de R$ 8,60 para ida e volta, quanto com Riocard. Outros meios de transporte público também terão operação especial.", Madonna no Rio ,2024-05-04 00:12:27.652731,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/rj/rio-de-janeiro/show-da-madonna/noticia/2024/05/04/show-da-madonna-terminal-gentileza-tem-linha-de-onibus-direto-para-copacabana-veja-preco-e-regras.ghtml
Show da Madonna: veja até que horas metrô fica aberto e como chegar ao evento em Copacabana,"Rainha do pop faz show gratuito na praia neste sábado (4). TV Globo, Multishow e Globoplay transmitem direto de Copacabana. ", Madonna no Rio ,2024-05-04 00:12:27.657457,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/rj/rio-de-janeiro/show-da-madonna/noticia/2024/05/04/show-da-madonna-veja-ate-que-horas-metro-fica-aberto-e-como-chegar-ao-evento-em-copacabana.ghtml
CNU adiado: concurso pode ser cancelado? Provas serão as mesmas? Posso pedir reembolso? ,"O 'Enem dos concursos', que seria neste domingo (5), foi adiado em todo o Brasil em razão das chuvas e cheias de rios no Rio Grande do Sul.", Concursos ,2024-05-04 00:12:27.662302,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/trabalho-e-carreira/concursos/noticia/2024/05/04/cnu-adiado-tire-duvidas.ghtml
Hamas se reúne no Egito para responder proposta de Israel para cessar-fogo temporário em Gaza,"Em um comunicado, o Hamas afirmou que estudou a proposta de cessar-fogo e que o grupo está determinado a garantir um acordo que compreenda as demandas dos palestinos.", Mundo ,2024-05-04 00:12:27.666902,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/mundo/noticia/2024/05/04/hamas-se-reune-no-egito-para-responder-proposta-de-israel-para-cessar-fogo-temporario-em-gaza.ghtml
Mega-Sena pode pagar R$ 28 milhões neste sábado; +Milionária pode chegar a R$ 178 milhões,Apostas podem ser feitas até as 19h em lotéricas ou pela internet. , Loterias ,2024-05-04 00:12:27.670781,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/loterias/noticia/2024/05/04/mega-sena-pode-pagar-r-28-milhoes-neste-sabado-milionaria-pode-chegar-a-r-178-milhoes.ghtml
'Efeito funil' e ventos impedem escoamento das águas no RS; entenda,"Guaíba recebe águas dos rios Caí, Jacuí, Pardo, Taquari, Sinos, Gravataí, entre outros. Vento que sopra do sul represa água e impede que fluxo siga em direção à Lagoa dos Patos e ao Oceano Atlântico.", Rio Grande do Sul ,2024-05-04 00:12:27.674646,G1,https://s2-g1.glbimg.com/wPjpwD-aiN6I7lqg0PO73aYkZm8=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/54/09/12560954,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2024/05/04/efeito-funil-e-ventos-impedem-escoamento-das-aguas-no-rs-entenda.ghtml
