title,publication_date,text,link,image,category,source
Corpos com marcas de bala encontrados no México são de 3 turistas estrangeiros,2024-05-06 00:00:00.000000,"Dois irmãos australianos e um americano amigo deles estavam desaparecidos desde 27 de abril Familiares de três turistas desaparecidos no norte do México em abril identificaram seus corpos, s ...",https://www1.folha.uol.com.br/mundo/2024/05/corpos-com-marcas-de-bala-encontrados-no-mexico-sao-de-3-turistas-estrangeiros.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,mundo,Folha
"Não sou esse monstro, diz mulher que levou parente morto ao banco para sacar empréstimo",2024-05-05 23:22:00.000000,"Erika Nunes afirmou em entrevista que não percebeu que Paulo Roberto Braga já estava sem vida; ela ficou presa duas semanas Erika de Souza Vieira Nunes, 43, presa após levar o parente Paulo  ...",https://www1.folha.uol.com.br/cotidiano/2024/05/nao-sou-esse-monstro-diz-mulher-que-levou-parente-morto-ao-banco-para-sacar-emprestimo.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,cotidiano,Folha
Bruno Mars conta que se apaixonou pelo Brasil após assistir a filme sobre capoeira na infância,2024-05-05 23:20:00.000000,"Ao Fantástico, cantor diz que vai comemorar aniversário na próxima vinda ao país em outubro O cantor Bruno Mars é fã do Brasil graças a um filme sobre capoeira ao qual assistiu junto a seu p ...",https://f5.folha.uol.com.br/musica/2024/05/bruno-mars-conta-que-se-apaixonou-pelo-brasil-apos-assistir-a-filme-sobre-capoeira-na-infancia.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,musica,Folha
Motorista de Porsche diz que não foi privilegiado e nega ter bebido,2024-05-05 23:18:00.000000,"Fernando Sastre Filho é considerado foragido, após polícia não ter encontrado empresário ao procurá-lo em casa O empresário e motorista do Porsche Fernando Sastre de Andrade Filho, 24, volto ...",https://www1.folha.uol.com.br/cotidiano/2024/05/motorista-de-porsche-diz-que-nao-foi-privilegiado-e-nega-ter-bebido.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,cotidiano,Folha
Nunes lembra que quase perdeu votação por causa de bolsonarista indicada a vice,2024-05-05 23:15:00.000000,Sonaira foi contra reforma da previdência e disse que gestão tinha dinheiro para pagar aumento de salário do prefeito Em conversa no final de abril com presidentes de partidos e outros líder ...,https://www1.folha.uol.com.br/colunas/painel/2024/05/nunes-lembra-que-quase-perdeu-votacao-por-causa-de-bolsonarista-indicada-a-vice.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,colunas,Folha
"Sem manejo adequado, cerrado se descaracteriza e área fica menos resiliente às mudanças no clima",2024-05-05 23:15:00.000000,"Transformação da vegetação típica da savana em 'cerradão', pobre em biodiversidade, ocorre de forma rápida Com o acelerado processo de destruição do cerrado e a falta de manejo adequado das  ...",https://www1.folha.uol.com.br/ambiente/2024/05/sem-manejo-adequado-cerrado-se-descaracteriza-e-area-fica-menos-resiliente-as-mudancas-no-clima.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,ambiente,Folha
Governo Lula prepara mudança em regras para fundos de pensão,2024-05-05 23:00:00.000000,Objetivo é dar flexibilidade para equacionar déficits temporários e fazer investimentos O governo Luiz Inácio Lula da Silva (PT) discute uma série de mudanças nas regras para fundos de pensã ...,https://www1.folha.uol.com.br/mercado/2024/05/governo-lula-prepara-mudanca-em-regras-para-fundos-de-pensao.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,mercado,Folha
TSE vai enfrentar 3 discussões centrais em recurso que pede cassação de Moro,2024-05-05 23:00:00.000000,"Valor, tempo e o que pode ser considerado gasto em pré-campanha estarão em debate na corte eleitoral Embora o TRE (Tribunal Regional Eleitoral) do Paraná tenha decidido rejeitar o processo m ...",https://www1.folha.uol.com.br/poder/2024/05/tse-vai-enfrentar-3-discussoes-centrais-em-recurso-que-pede-cassacao-de-moro.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,poder,Folha
Número de inscritos no Mais Médicos dobra em relação ao governo Bolsonaro,2024-05-05 23:00:00.000000,"Governo federal tem mais de 25 mil médicos em atividade no programa, mostram dados de abril O número de profissionais atualmente inscritos no programa Mais Médicos sob o governo Lula dobrou  ...",https://www1.folha.uol.com.br/colunas/monicabergamo/2024/05/numero-de-inscritos-no-mais-medicos-dobra-em-relacao-ao-governo-bolsonaro.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,colunas,Folha
Prefeitura e governo de SP não chegam a acordo sobre imbróglio bilionário com Sabesp,2024-05-05 23:00:00.000000,"Privatização terá que abordar possíveis desfechos para o caso, avaliam envolvidos Após meses de tratativas, a Prefeitura de São Paulo e o governo estadual não conseguiram chegar a um acordo  ...",https://www1.folha.uol.com.br/colunas/painel/2024/05/prefeitura-e-governo-de-sp-nao-chegam-a-acordo-sobre-imbroglio-bilionario-com-sabesp.shtml,https://f.i.uol.com.br/fotografia/2024/05/05/1714962963663842133c58a_1714962963_3x2_xs.jpg,colunas,Folha
